Ticker,shortName,sector,industry,marketCap,currency,trailingPE,forwardPE,priceToBook,returnOnEquity,grossMargins,operatingMargins,revenueGrowth,earningsGrowth,lastPrice,asOfDate
1101.TW,TCC GROUP HOLDINGS CO LTD,Basic Materials,Building Materials,185021038592.0,TWD,20.0,15.0,0.73146796,0.0462,0.21177,0.06584,0.368,-0.73,24.6,2025-08-11
1102.TW,ASIA CEMENT CORP,Basic Materials,Building Materials,140266438656.0,TWD,11.735906,13.009869,0.79022557,0.056750003,0.15345,0.09618,0.006,-0.54,39.55,2025-08-11
1103.TW,CHIA HSIN CEMENT CORPORATION,Basic Materials,Building Materials,9090819072.0,TWD,20.597015,32.09302,0.4304295,0.02145,0.14857,-0.01084,0.076,,13.8,2025-08-11
1104.TW,UNIVERSAL CEMENT CORPORATION,Basic Materials,Building Materials,18368743424.0,TWD,12.159091,9.452297,0.7664977,0.06501,0.20145,0.13855,0.011,0.139,26.75,2025-08-11
1108.TW,LUCKY CEMENT CO.,Basic Materials,Building Materials,5868700672.0,TWD,11.693548,,1.1699209,0.10272,0.19225,0.14139,0.017,0.067,14.5,2025-08-11
1109.TW,HSING TA CEMENT CO LTD,Basic Materials,Building Materials,5509718016.0,TWD,12.716536,12.81746,0.65202475,0.04857,0.19459999,0.03195,-0.1,-0.29,16.15,2025-08-11
1110.TW,SOUTH EAST CEMENT CO LTD.,Basic Materials,Building Materials,10371943424.0,TWD,28.437502,,1.0984368,0.04165,0.17409,0.08733,0.284,0.6,18.2,2025-08-11
1201.TW,WEI CHUAN FOOD CORP,Consumer Defensive,Packaged Foods,7843976704.0,TWD,22.794117,,1.1280931,0.04664,0.27327,0.01853,-0.064,-0.75,15.5,2025-08-11
1203.TW,VE WONG CORPORATION,Consumer Defensive,Packaged Foods,9460698112.0,TWD,17.304348,22.35955,1.4934334,0.119440004,0.34537,0.20464,-0.009,-0.094,39.8,2025-08-11
1210.TW,GREAT WALL ENTERPRISE,Consumer Defensive,Packaged Foods,46018883584.0,TWD,12.971699,11.458333,1.8883473,0.13299,0.14692001,0.051820002,0.009,0.05,55.0,2025-08-11
